Timestamp,Angle in deg
0.0,0.0
0.004999999,2.2851588154698
0.009999999,12.304701164217601
0.014999999,26.8945607428344
0.019999999,43.7695787931462
0.025,62.7539768427834
0.029999999,82.08993510302041
0.035,103.35948646773059
0.039999999,124.804826446167
0.045000001,146.0743846863732
0.05,168.92596550720882
0.054999999,191.074432725045
0.059999998,213.3986681593026
0.064999997,236.07448082101257
0.07,258.5744980507962
0.075000002,280.3714153139808
0.079999998,302.8714325437644
0.085,325.5472315117782
0.090000003,347.519903297688
0.094999998,370.0199478575682
0.100000001,392.69574688287776
0.104999996,414.4926368159658
0.109999999,437.16846317137197
0.115000002,459.14110762718525
0.119999997,481.816961312688
0.125,504.49276028070176
0.129999995,526.9927775104854
0.135000005,549.668576535795
0.14,572.6959391521566
0.144999995,594.8443927908882
0.150000005,617.520191758902
0.155000001,640.3718272399308
0.159999996,662.5202808213666
0.165000006,684.4929526072764
0.170000001,707.3445334281121
0.174999997,729.4929870668436
0.180000007,752.3445678876792
0.185000002,775.0203669129888
0.189999997,797.3446569501438
0.194999992,819.4931105315796
0.200000002,842.3446913524151
0.204999998,864.317363138325
0.209999993,886.8173803108128
0.215000003,910.723652019396
0.219999998,933.3994510447055
0.224999994,955.3721228306155
0.230000004,978.2237583116442
0.234999999,1000.547993688606
0.239999994,1022.6963926671443
0.245000004,1045.7238645465966
0.25,1068.399663571906
0.254999995,1084.9230445779503
0.25999999,1086.5051355124692
0.264999985,1080.001153844856
0.27000001,1068.223827116187
0.275000005,1051.700336847052
0.280000001,1032.8917377243852
0.284999996,1011.7980296335944
0.289999991,990.0010850403132
0.294999986,967.6768496060555
0.300000011,944.2979233413462
0.305000007,921.6221243160365
0.310000002,898.946325290727
0.314999997,875.3916172304915
0.319999992,851.836854510063
0.324999988,829.1610554847534
0.330000013,804.7274383895922
0.335000008,781.172730272061
0.340000003,757.6180222118256
0.344999998,734.0633141515901
0.349999994,710.508606034059
0.354999989,687.3054616221715
0.360000014,664.278098948514
0.365000009,640.1960454444048
0.370000004,617.344409963376
0.375,593.6139201076146
0.379999995,570.0592119900834
0.38499999,546.504503929848
0.389999985,523.4771413134864
0.39500001,499.2193059565554
0.400000005,476.016161487372
0.405000001,452.46142609704
0.409999996,428.9067180368046
0.414999991,405.35200997656915
0.419999986,381.97308371185983
0.425000011,358.4183755943286
0.430000007,335.5667674433964
0.435000002,312.187841178687
0.439999997,288.6331331184516
0.444999992,265.07842505821617
0.449999988,242.22681690728402
0.455000013,217.9689952440492
0.460000008,194.59005528564361
0.465000003,171.0353472254082
0.469999998,147.4806254714766
0.474999994,124.10169920676721
0.479999989,100.01963888445779
0.485000014,76.2891489714006
0.490000009,52.910215888490995
0.495000004,30.234410044981203
0.5,7.0312578981606
0.504999995,-10.5468864748182
0.50999999,-10.5468864748182
0.514999985,-1.7578144602162
0.51999998,12.480482100306599
0.524999976,30.410188460054997
0.529999971,49.0430228613444
0.535000026,69.433672009329
0.540000021,89.8243211573136
0.545000016,111.2696543175498
0.550000011,133.7696851837338
0.555000007,155.5665751741176
0.560000002,178.4181696313536
0.564999997,201.621314100537
0.569999992,224.4729086150688
0.574999988,247.1487075830826
0.579999983,269.2971612218142
0.584999978,291.7972057243986
0.589999973,314.2972229541822
0.595000028,336.9730219794918
0.600000023,359.6488482776022
0.605000019,381.97308371185983
0.610000014,405.0004463282214
0.615000009,427.50046355800504
0.620000004,449.64894446953735
0.625,473.2036525297728
0.629999995,495.1763243156826
0.63499999,517.8521233409922
0.639999985,541.2310496057016
0.64499998,564.2584122220632
0.649999976,587.1100477030919
0.654999971,610.1374103767495
0.660000026,632.6374275492371
0.665000021,654.9616629834949
0.670000016,677.8132438043303
0.675000011,700.1374791812922
0.680000007,723.1648418549496
0.685000002,745.8406408229635
0.689999997,768.8680581568141
0.694999992,791.8954207731756
0.699999988,814.2196561501374
0.704999983,837.2470188237947
0.709999978,860.2743814401564
0.714999973,882.77439866994
0.720000028,905.9775431391234
0.725000023,929.708087655078
0.730000019,952.3838866803877
0.735000014,975.762812945097
0.740000009,998.0870483220588
0.745000004,1020.5870108916492
0.75,1043.7902100210258
0.754999995,1061.0168275295605
0.75999999,1061.1925546648931
0.764999985,1051.3487732560002
0.76999998,1036.407373921384
0.774999976,1018.1261748454883
0.779999971,998.2627755146873
0.785000026,977.6963582075772
0.790000021,955.3721228306155
0.795000016,932.3447601569579
0.800000011,910.0205247799962
0.805000007,887.3447257546867
0.810000002,863.6142358989251
0.814999997,840.4110914297419
0.819999992,817.2079469605584
0.824999988,793.1258934564491
0.829999983,770.0985308400876
0.834999978,746.0164226757852
0.839999973,722.4617145582539
0.845000028,699.0827882935446
0.850000023,676.231207472709
0.855000019,652.6764994124736
0.860000014,628.9460094994164
0.865000009,605.9186468830547
0.870000004,582.0123751744716
0.875,558.98501255811
0.879999995,535.4303044405788
0.88499999,511.6997599246242
0.889999985,488.3208336599148
0.89499998,464.76612559967947
0.899999976,440.85985389109624
0.904999971,417.3051458308608
0.910000026,393.7504377133296
0.915000021,370.3715114486202
0.920000016,347.519903297688
0.925000011,324.1409770329786
0.930000007,301.8167416560168
0.935000002,278.2620335957814
0.939999997,255.23464359202742
0.944999992,231.3283718834442
0.949999988,208.1252274715566
0.954999983,184.3947375584994
0.959999978,161.0157976573896
0.964999973,137.10952594880638
0.970000028,113.9063746614228
0.975000023,89.8243211573136
0.980000019,66.62116986993
0.985000014,43.7695787931462
0.990000009,20.2148655762888
0.995000004,-2.9882845651788
1.0,-25.6640914973088
1.004999995,-43.9453605886722
